L00_Response_ID,L00_Random_ID_Num,L12xx_Other,L12xx_Other_CATEGORIZED_role1,L12xx_Other_CATEGORIZED_role2,L12xx_Other_CATEGORIZED_role3
207,92135,,,,
208,86543,Operations Technician,Operations,,
209,76690,,,,
210,26958,,,,
211,33629,,,,
212,93723,,,,
213,86543,Operations Tech.,Operations,,
214,10500,,,,
215,10500,,,,
216,40612,,,,
217,26114,,,,
218,10500,,,,
219,86543,,,,
220,80230,,,,
221,33000,,,,
222,10500,,,,
223,10500,Assistant Lead,Manager,,
224,10500,,,,
225,97260,,,,
226,37062,,,,
227,37062,,,,
228,37062,,,,
229,50926,,,,
230,50926,Outreach / Event representative,Community Liaison,,
231,69188,,,,
232,79202,,,,
233,19660,,,,
234,33000,,,,
235,42239,Supervisory Librarian,Librarian,Manager,
236,57069,,,,
237,63064,,,,
238,33000,,,,
239,58439,,,,
240,63906,,,,
241,38376,,,,
242,32758,,,,
243,58815,,,,
244,41144,,,,
245,29992,,,,
246,16499,,,,
247,47656,,,,
248,41144,,,,
249,61558,,,,
250,16499,,,,
251,32364,,,,
252,79195,,,,
253,71625,,,,
254,16499,,,,
255,64497,Facilitator,Instructor / Faculty,,
256,39904,,,,
257,90543,,,,
258,45268,,,,
259,59290,,,,
260,83917,Associate Dean,Dean,,
261,19723,,,,
263,82820,,,,
264,87970,,,,
265,86142,,,,
266,51639,,,,
267,92361,,,,
268,60814,,,,
269,87581,,,,
270,57264,Regular member,Member,,
271,57264,,,,
272,14587,,,,
273,57264,,,,
274,45103,,,,
275,72671,,,,
277,63157,,,,
278,40013,,,,
279,63827,,,,
280,40793,"We have five makerspaces across our library system, and I oversee them all.",Director,,
281,25403,,,,
282,65199,,,,
283,95516,,,,
284,29580,,,,
285,51639,,,,
286,10131,,,,
287,28602,,,,
288,92361,,,,
289,92361,,,,
290,37668,,,,
291,40513,,,,
292,69173,,,,
293,42239,,,,
294,89497,,,,
295,50617,,,,
296,29574,,,,
297,97018,,,,
298,32364,,,,
299,32364,,,,
300,92723,,,,
301,66549,,,,
302,62088,,,,
303,83593,,,,
304,97137,,,,
305,67675,,,,
307,13550,,,,
308,66984,,,,
309,27653,,,,
310,84170,,,,
311,76704,,,,
312,47115,,,,
314,79193,,,,
315,65199,,,,
316,50926,,,,
317,30812,,,,
318,38439,,,,
319,68187,"Refreshments provider, cleaning",Janitorial Staff,,
320,68187,machine maintenance,Maintenance,,
321,33288,,,,
322,92361,,,,
323,66984,,,,
324,33288,,,,
325,92361,,,,
326,50926,,,,
327,68187,facilities design and repair,Facilities,,
328,92361,,,,
329,68187,,,,
330,13720,Janitor,Janitorial Staff,,
331,74443,,,,
332,19723,,,,
334,78660,,,,
335,68187,,,,
336,32364,,,,
337,33288,,,,
338,32364,Director of Membership,Director of Membership,,
339,33288,,,,
340,33288,,,,
341,41739,,,,
342,41739,,,,
